yearID,teamID,name,allstar_team
2026,LG,LG Twins,Nanum
2026,HH,Hanwha Eagles,Nanum
2026,KIA,KIA Tigers,Nanum
2026,KIW,Kiwoom Heroes,Nanum
2026,NC,NC Dinos,Nanum
2026,DOO,Doosan Bears,Dream
2026,LOT,Lotte Giants,Dream
2026,SAM,Samsung Lions,Dream
2026,SSG,SSG Landers,Dream
2026,kt,kt Wiz,Dream
2026,LG2,Icheon Twins,North
2026,HH2,Seosan Eagles,North
2026,KIW2,Goyang Heroes,North
2026,DOO2,Icheon Bears,North
2026,SSG2,Ganghwa Landers,North
2026,SANG,Sangmoo Phoenix,North
2026,SAM2,Gyeongsan Lions,South
2026,LOT2,Gimhae Giants,South
2026,KIA2,Hampyeong Tigers,South
2026,NC2,Changwon Dinos,South
2026,kt2,Iksan Wiz,South
2026,ULS,Ulsan Whales,South
