city,country
Busan,Korea
Seoul,Korea
Incheon,Korea
Daegu,Korea
Daejeon,Korea
Gwangju,Korea
Taipei,Taiwan
Kaohsiung,Taiwan
Bangkok,Thailand
Chiang Mai,Thailand
Jakarta,Indonesia
Surabaya,Indonesia
Manila,Philippines
Cebu,Philippines
Kuala Lumpur,Malaysia
Penang,Malaysia
Singapore,Singapore
Hanoi,Vietnam
Ho Chi Minh City,Vietnam
Ulaanbaatar,Mongolia
Tashkent,Uzbekistan
Almaty,Kazakhstan
Astana,Kazakhstan
Dubai,United Arab Emirates
Abu Dhabi,United Arab Emirates
Muscat,Oman
Kuwait City,Kuwait
Doha,Qatar
Riyadh,Saudi Arabia
Jeddah,Saudi Arabia
