# CBT player-team season seed generated from OOTP import_export career stats.
# OOTP numeric player ids and team ids are intentionally omitted because they can change per save.
# KBO Futures affiliates are folded into parent KBO club codes; Sangmu is excluded.
player_key,last_name,first_name,team_code,season_count
addito001nic,Additon,Nick,LOT,1
adduci001jam,Adduci,Jim,LOT,2
adkins001jon,Adkins,John,LOT,1
adlema001tim,Adleman,Tim,SAM,1
an----002bye,Ahn,Byeong-won,LG,5
kbo_51201,Ahn,Chan-ho,DOO,1
kbo_66412,Ahn,Chang-Ha,SAM,1
kbo_51707,Ahn,Chang-ho,HH,2
an----000cha,Ahn,Chang-wan,LOT,8
an----000chi,Ahn,Chi-hong,HH,2
an----000chi,Ahn,Chi-hong,KIA,10
an----000chi,Ahn,Chi-hong,LOT,4
ahn---000chi,Ahn,Chi-yeong,kt,7
an----001chi,Ahn,Chi-yong,LG,9
an----001chi,Ahn,Chi-yong,SSG,4
an----000dae,Ahn,Dae-hwan,DOO,7
kbo_68413,Ahn,Do-Won,SAM,3
ahn---000don,Ahn,Dong-hyeon,DOO,3
an----000eon,Ahn,Eon-hak,LG,2
kbo_52005,Ahn,Gwang-Jun,kt,1
an----000gwe,Ahn,Gwon-su,DOO,3
an----000gwe,Ahn,Gwon-su,LOT,1
kbo_53308,Ahn,Gyeom,KIW,1
an----001kyu,Ahn,Gyeong-hyeon,DOO,17
an----001kyu,Ahn,Gyeong-hyeon,SSG,2
ahn---000kyu,Ahn,Gyu-hyeon,SAM,3
ahn---001kyu,Ahn,Gyu-yeong,DOO,5
an----000hyi,Ahn,Hui-Bong,KIA,1
ahn---000hyu,Ahn,Hyeon-min,kt,3
kbo_53897,Ahn,Hyeon-seo,SSG,3
kbo_62002,Ahn,Hyeong-Gwon,LOT,1
ahn---000ik-,Ahn,Ik-hun,LG,9
an----000ins,Ahn,In-san,NC,4
an----000jae,Ahn,Jae-man,KIA,1
an----000jae,Ahn,Jae-man,LG,8
an----000jae,Ahn,Jae-man,SSG,4
an----001jae,Ahn,Jae-seok,DOO,4
an----001jun,Ahn,Jeong-gwang,SSG,4
an----001jun,Ahn,Jeong-gwang,kt,2
an----000ji-,Ahn,Ji-man,SAM,15
kbo_51704,Ahn,Jin,HH,4
ahn---000jin,Ahn,Jin-Geun,LG,1
ahn---000jin,Ahn,Jin-Geun,kt,2
ahn---001joo,Ahn,Ju-hyeong,SAM,9
kbo_67209,Ahn,Jun,DOO,4
an----000jun,Ahn,Jun-hyeong,SAM,1
kbo_66568,Ahn,Jun-yeong,LOT,1
ahn---000joo,Ahn,Jung-yeol,LOT,6
ahn---000joo,Ahn,Jung-yeol,NC,3
ahn---000joo,Ahn,Jung-yeol,kt,2
an----000min,Ahn,Min-seok,SAM,1
an----000mye,Ahn,Myeong-ho,LOT,3
kbo_64041,Ahn,Sang-bin,kt,3
kbo_73402,Ahn,Sang-guk,SAM,1
ahn---001san,Ahn,Sang-hyeon,SSG,7
an----000san,Ahn,Sang-jun,DOO,1
an----000san,Ahn,Sang-jun,KIA,4
an----000san,Ahn,Sang-jun,LG,9
kbo_64059,Ahn,Sang-min,kt,1
an----001sun,Ahn,Seong-mu,SAM,4
an----000sun,Ahn,Seong-pil,SAM,1
ahn---000sun,Ahn,Seong-su,HH,1
ahn---000seu,Ahn,Seung-han,DOO,3
ahn---000seu,Ahn,Seung-han,kt,6
an----000seu,Ahn,Seung-min,HH,7
an----000sih,Ahn,Si-hu,LG,1
kbo_65591,Ahn,Tae-gyeong,LOT,2
ahn---002tae,Ahn,Tae-yeong,KIW,2
ahn---002tae,Ahn,Tae-yeong,SAM,2
ahn---000woo,Ahn,U-jin,KIW,6
kbo_54509,Ahn,U-jin,LOT,1
kbo_63665,Ahn,U-ju,KIA,1
an----000yeo,Ahn,Yeong-jin,HH,4
an----000you,Ahn,Yeong-myeong,HH,16
an----000you,Ahn,Yeong-myeong,KIA,1
an----000you,Ahn,Yeong-myeong,kt,2
an----000yun,Ahn,Yun-ho,SAM,2
albers001and,Albers,Andrew,HH,1
ramire000yef,Alcala,Yefry,HH,1
kbo_73123,Alcantara,Israel,DOO,1
kbo_73123,Alcantara,Israel,LG,1
tavare001jes,Alcantara,Jesus,KIA,2
alcant001rau,Alcantara,Raul,DOO,3
alcant001rau,Alcantara,Raul,KIW,1
alcant001rau,Alcantara,Raul,kt,1
aldrid001cor,Aldridge,Cory,KIW,1
alford000ant,Alford,Anthony,kt,2
alldre000cam,Alldred,Cam,KIA,1
allen-000log,Allen,Logan,NC,1
almont001zoi,Almonte,Zoilo,kt,1
alther001aar,Altherr,Aaron,NC,2
anders012and,Anderson,Andrew,SSG,2
kbo_98116,Anderson,Mike,LG,1
anders000sha,Anderson,Shaun,KIA,1
anduja001lui,Andujar,Luis,KIA,1
valdez001lui,Asencio,Jairo,KIA,1
asuaje000car,Asuaje,Carlos,LOT,1
bae---001cha,Bae,Chan-seung,SAM,1
bae---000cha,Bae,Chang-hyeon,DOO,5
